nExp, valid,  A 0
   0,     0, -149
   1,     0,  120
   2,     0, -181
   3,     0, -149
   4,     0, -157
   5,     0, -148
   6,     0, -148
   7,     0, -201
   8,     0, -149
   9,     0, -169
  10,     0, -609
  11,     0, -240
  12,     0, -497
  13,     0, -153
  14,     0, -189
  15,     0, -248
  16,     0, -305
  17,     0, -169
  18,     0, -157
  19,     0, -149
  20,     0, -149
  21,     0, -201
  22,     0, -181
  23,     0, -401
  24,     0, -148
  25,     0, -148
  26,     0, -148
  27,     0, -369
  28,     0, -149
  29,     0,  -56
  30,     0, -217
  31,     0, -149
  32,     1, -141
  33,     0, -149
  34,     0, -149
  35,     0, -161
  36,     1, -250
  37,     0, -308
  38,     0, -172
  39,     1,   20
  40,     0, -149
  41,     0, -148
  42,     0, -149
  43,     0, -149
  44,     0, -244
  45,     0, -148
  46,     0, -501
  47,     0, -149
  48,     1, -276
  49,     0, -148
  50,     0, -149
  51,     0, -149
  52,     1,  -33
  53,     0, -381
  54,     0, -149
  55,     0,   83
  56,     0, -149
  57,     0, -148
  58,     0, -148
  59,     0, -149
  60,     0, -149
  61,     0, -148
  62,     0, -149
  63,     0, -453
  64,     0, -188
  65,     0, -157
  66,     0, -149
  67,     0, -149
  68,     0, -249
  69,     0, -189
  70,     0, -148
  71,     1,  -52
  72,     0, -149
  73,     0, -193
  74,     0, -149
  75,     0, -121
  76,     0, -421
  77,     0, -552
  78,     0, -148
  79,     0, -148
  80,     0, -553
  81,     0, -252
  82,     0, -473
  83,     0, -149
  84,     0, -149
  85,     0, -149
  86,     0, -432
  87,     0, -148
  88,     0, -420
  89,     1,   53
  90,     0, -161
  91,     0, -148
  92,     0, -148
  93,     1,  316
  94,     1,  -31
  95,     0, -405
  96,     0, -148
  97,     1,  -39
  98,     0, -148
  99,     0, -148
