nExp, valid,  A 0,  A 1,  A 2,  A 3,  A 4
   0,     0, -148, -316, -160, -172, -148
   1,     0, -148, -444, -148, -148, -148
   2,     0, -184, -148, -356, -200, -340
   3,     1,  -86, -102,  290, -198,  -86
   4,     0, -147, -155, -591, -147, -183
   5,     1,  -33,  -33,  -33, -101,   48
   6,     0, -148, -292, -148, -148, -148
   7,     1,  -96, -151,  -96,  -96,  -96
   8,     1, -109, -217,  -20, -109, -109
   9,     1,  -50,  -66,  152,  -50,  -50
  10,     0, -148, -148,  168, -160, -312
  11,     1, -116, -116, -288, -255, -276
  12,     0, -148, -148, -184, -148, -280
  13,     0, -248, -164, -248, -664, -164
  14,     1, -223, -127, -111, -131,  -66
  15,     1,  121,  -81,  -81,  -81,  -81
  16,     1,  -26,  -26,   75,  -26,  -26
  17,     1,  -50,  -50,  -54,  -50,   35
  18,     0, -147, -147, -503, -147,   -1
  19,     1,  -52,  -52,    5,  -52,  -52
  20,     1,  -84,  -84, -148,  -84,  -31
  21,     0, -284, -148, -204, -148, -276
  22,     0, -148, -148, -188, -516, -512
  23,     1,  -95, -187, -274,  -95,  -95
  24,     0,  -48,  118,  -48,  -48,  -48
  25,     1,  -33,  -94, -206,  -94,    0
  26,     0,  -75,  -75,  -87,  -75,  -75
  27,     0, -148, -148, -236, -148, -152
  28,     0, -148, -148, -148, -148, -372
  29,     0, -288, -184, -184, -512, -148
  30,     0, -328, -148, -148, -356, -460
  31,     0, -248, -148, -148, -148, -220
  32,     0, -148, -148, -148, -252, -148
  33,     1,  -50,  548,  -78,  -50,  -50
  34,     1, -107, -107, -266, -107, -107
  35,     1, -115,  -38, -115, -115, -115
  36,     0, -472, -612, -160, -148, -148
  37,     1,  -83, -119, -203, -250,    0
  38,     1, -246,  -87, -123,  -87, -131
  39,     0, -148, -332, -148, -148, -148
  40,     0, -156, -148, -148, -160, -184
  41,     0, -147, -203, -219, -147, -147
  42,     0, -147, -147, -147, -147, -147
  43,     0, -404, -164, -148, -148, -168
  44,     0, -148, -148, -248, -148, -148
  45,     1, -291, -104, -104, -296,    0
  46,     0, -147, -147, -339, -147, -319
  47,     1,  -61, -145,  -61,  -61,  -60
  48,     0, -175, -655, -147, -147, -371
  49,     0, -148, -148, -668, -148, -148
  50,     0,  -92, -192, -116, -104,  -92
  51,     0, -148, -148, -148, -412, -628
  52,     0, -148, -148, -148, -148, -364
  53,     1,  -95, -108,  -76,  -76,  -76
  54,     0, -148, -500, -148, -148, -148
  55,     0, -148, -444, -192, -380,    0
  56,     1, -258,  -78,   -9,  -78, -326
  57,     1, -252,  -92,  -84, -139,  -84
  58,     0, -148, -148, -180, -148, -396
  59,     1,  -42, -439, -111, -135, -111
  60,     0, -259, -631, -147, -151, -147
  61,     0, -516, -164, -156, -148, -436
  62,     0, -148, -260, -148, -552, -148
  63,     0, -583, -295, -147, -147, -271
  64,     1, -113, -245, -264, -113, -113
  65,     1, -114, -114, -114, -114, -277
  66,     0, -216, -148, -148, -148, -148
  67,     1,  -47,  -47,  -47,   30,  -47
  68,     0, -148, -148, -148, -148, -148
  69,     0, -292, -288, -148, -348, -332
  70,     0,  -60,  -60,  340,  -60,  -60
  71,     0, -147, -267, -175, -147,    0
  72,     0,  267,  -32,  -32,  -32,  -32
  73,     0, -137, -133, -133, -153, -133
  74,     0, -147, -147, -147, -147, -463
  75,     1, -111, -111, -298, -111, -143
  76,     0, -123, -123, -123,   51, -123
  77,     0, -224, -148, -536, -148, -148
  78,     0,  -39,  -39,  -43,  -39,  -39
  79,     0, -148, -156, -508, -148, -352
  80,     0, -147, -147, -171, -243, -147
  81,     0, -156, -148, -316, -148, -148
  82,     0, -148, -148, -204, -148, -148
  83,     1, -104, -104, -104, -104, -119
  84,     0, -147, -147, -619, -147, -147
  85,     0, -148, -148, -148, -316, -292
  86,     0, -656, -216, -200, -264, -344
  87,     0, -148, -148, -176, -308, -148
  88,     0, -336, -320, -180, -148, -148
  89,     0, -107, -107, -207, -127, -107
  90,     0,  -42,  -42,  -46,  -42,  -42
  91,     1,  -68,  -68,  134,  -68,  -68
  92,     1, -103, -103, -199, -103, -126
  93,     0, -207, -279, -147, -147, -183
  94,     0,  -83,  -95,  -83, -155,  -91
  95,     1, -344,  -84,  -84,  -84,  -55
  96,     1, -107,  -91,  523,  -83,  -83
  97,     0, -188, -148, -648, -200, -412
  98,     1,  -89,  -81,  -81,  154, -117
  99,     0, -336, -168, -164, -488, -620
