nExp, valid,  A 0
   0,     0, -249
   1,     1,   42
   2,     0, -213
   3,     0, -245
   4,     0, -136
   5,     0, -248
   6,     0, -249
   7,     0, -118
   8,     1,   33
   9,     1,   29
  10,     0, -171
  11,     0, -253
  12,     0, -249
  13,     1,   66
  14,     1,   -5
  15,     0, -249
  16,     1,  152
  17,     0, -112
  18,     0, -248
  19,     0, -249
  20,     1,  138
  21,     0, -248
  22,     0, -164
  23,     0, -235
  24,     0, -249
  25,     0, -121
  26,     0, -107
  27,     0, -216
  28,     1,  149
  29,     1,  171
  30,     0, -249
  31,     0, -184
  32,     0, -116
  33,     0, -177
  34,     0, -249
  35,     1,   34
  36,     1,  112
  37,     0, -188
  38,     1,   23
  39,     0, -128
  40,     0, -232
  41,     1,  147
  42,     1,    1
  43,     1,   89
  44,     0, -110
  45,     1,  100
  46,     0, -164
  47,     1,  138
  48,     1,  -17
  49,     0, -149
  50,     0, -168
  51,     0, -165
  52,     1,  -47
  53,     0, -234
  54,     1,  110
  55,     1,  -38
  56,     0, -244
  57,     0, -249
  58,     0, -148
  59,     1,  143
  60,     0, -176
  61,     1,   -3
  62,     0,  -76
  63,     0, -248
  64,     0, -248
  65,     0, -248
  66,     1,   88
  67,     0, -248
  68,     0, -178
  69,     0, -249
  70,     0, -248
  71,     0, -149
  72,     0, -253
  73,     0, -148
  74,     0, -122
  75,     0, -115
  76,     0, -253
  77,     0, -248
  78,     0, -148
  79,     0, -131
  80,     0, -248
  81,     0, -253
  82,     1,   89
  83,     0, -249
  84,     1,   -6
  85,     1,  150
  86,     0, -249
  87,     0, -249
  88,     0, -149
  89,     1,   37
  90,     0, -118
  91,     0,  -77
  92,     0, -165
  93,     1,   40
  94,     1,  126
  95,     0, -169
  96,     0, -156
  97,     1,   35
  98,     0, -249
  99,     0, -148
