nExp, valid,  A 0,  A 1,  A 2
   0,     1,  -59,  143,  -59
   1,     0, -133, -137, -233
   2,     1,  -67,  -67,   34
   3,     0, -148, -248, -248
   4,     1,  -36,   65,  -36
   5,     1,  -50,  152,  -50
   6,     1,  -63,  -63,   38
   7,     0, -246, -146, -230
   8,     0, -248, -148, -148
   9,     1,  -30,  -30,   71
  10,     0, -115, -115, -119
  11,     1,  -67,  -67,   34
  12,     1,  -80,  -80,   21
  13,     1,  -55,  -55,  147
  14,     1,  -12,   89,  -12
  15,     1,  -66,  -66,  136
  16,     1,  -17, -118, -118
  17,     0, -159,  -75,  -75
  18,     1,  110,  -92,  -92
  19,     1,  -58,  -58,  144
  20,     0,  -67,  -67,  -75
  21,     0, -244, -148, -244
  22,     1,   89, -213, -217
  23,     0, -148, -244, -148
  24,     0, -114, -114, -118
  25,     0, -148, -148, -248
  26,     0, -127, -131, -231
  27,     1,  -12,   89,  -12
  28,     1,  -52,  150,  -52
  29,     0, -248, -148, -148
  30,     0,  -72,  -76,  -72
  31,     1,  142,  -60,  -60
  32,     0, -161,  -69,  -69
  33,     0, -236, -148, -148
  34,     0,  -66, -150,  -66
  35,     0,  -70, -158,  -70
  36,     0, -249, -149, -149
  37,     1,  -64,  138,  -64
  38,     1,  165,  -37,  -37
  39,     1,  -63,   38,  -63
  40,     1,  -44,  158,  -44
  41,     1,   64,  -37,  -37
  42,     0,  -85,  -85, -173
  43,     0,  -75,  -83,  -75
  44,     1,  149,  -53,  -53
  45,     0,  -78,  -74,  -74
  46,     0,  -67,  -67,  -75
  47,     0,  -84,  -88,  -84
  48,     1,  -70,  -70,  132
  49,     1,  118,  -84,  -84
  50,     0, -244,  -43, -140
  51,     0, -536, -148, -248
  52,     1,  118,  -84,  -84
  53,     0, -105, -189, -105
  54,     0, -119, -215, -111
  55,     1,  -45,  157,  -45
  56,     1,  -37,   64,  -37
  57,     0,  -92,  -92, -100
  58,     1,  189,  -13,  -13
  59,     1,  -77,  -77,  125
  60,     1, -119, -219,  -18
  61,     1,  115,  -87,  -87
  62,     1,   58,  -43,  -43
  63,     0, -244, -148, -248
  64,     0, -248, -148, -248
  65,     0, -185,  -97,  -97
  66,     1,  -62,   39, -198
  67,     0,  -88,  -88, -172
  68,     0, -148, -224, -248
  69,     1,  163,  -39,  -39
  70,     0, -184, -148, -248
  71,     1,   60,  -41,    0
  72,     0, -108, -112, -108
  73,     1,  -74,  128,  -74
  74,     0,  -95,  -95,  -99
  75,     0, -148, -148, -148
  76,     0,  -90,  -90,  -94
  77,     0, -148, -248, -252
  78,     0, -173,  -85,  -85
  79,     1,  -58,  -58,  144
  80,     0, -130, -218, -130
  81,     1,   60,  -41,  -41
  82,     0,  -80,  -72,  -72
  83,     0, -148, -248, -148
  84,     0, -148, -148,  591
  85,     0, -102, -186, -102
  86,     0,   -1,   -1,   -1
  87,     0,  -67,  -75,  -67
  88,     1,  172,  -30,  -30
  89,     0,  -99,  -99, -187
  90,     0, -148, -148, -148
  91,     0,  -87, -171,    0
  92,     0, -248, -148, -148
  93,     1,    2,  -99,  -99
  94,     0,  -96, -188,  -88
  95,     0,   -1,   -1,   -1
  96,     1,  -12,   89,  -12
  97,     0, -153,  -65,  -65
  98,     1, -140,  -39, -240
  99,     0, -248, -252, -148
