nExp, valid,  A 0,  A 1,  A 2,  A 3,  A 4
   0,     1,  -59,  143,  -59,  -59,  -59
   1,     1,  -68,  -68,  -68,   33,  -68
   2,     1,  -36,  -36,  -36,   65,  -36
   3,     1,  -49,  153,  -49,  -49,  -49
   4,     0, -148, -248, -164, -148, -248
   5,     1,  -30,  -30,  -30,  -30,   71
   6,     0, -148, -616, -148, -148, -248
   7,     1,   37, -160,  -64,  -64,  -64
   8,     1,  -13,  -13,  -13,  189,  -13
   9,     1,  -65,  -65,   36,  -65,  -65
  10,     0,  -76, -164,  -76,  -76,  -76
  11,     1,  -56,  -56,  -56,  -56,   45
  12,     0,  -66,  -66,  -70,  -66,  -66
  13,     0, -147, -147, -247, -147, -247
  14,     0, -248, -148, -148, -148, -148
  15,     0, -131, -131, -231, -131, -135
  16,     1,  -14,  -14,  188,  -14,  -14
  17,     0, -148, -248, -248, -148, -148
  18,     1,  -56,  -56,  -56,   33,  -56
  19,     0,  -67, -155,  -67,  -67,  -67
  20,     0,  -66,  -66,  -66, -154,  -66
  21,     0,  -70, -158,  -70,  -70,  -70
  22,     1,  -36,  -36,  -36,  -36,   65
  23,     0,  -71, -159,  -71,  -71,  -71
  24,     1,  -41,  161,  -41,  -41,  -41
  25,     0,  -83,  -83, -167,  -83,    0
  26,     1,  -51,  -51,   50,  -51,  -51
  27,     0,  -80,  -72,  -72,  -72,  -72
  28,     0,  -75,  -67,  -67,  -67,  -67
  29,     1,  -70,   31,  -70,  -70,  -70
  30,     0, -242, -150, -142, -142, -142
  31,     0,  -90,  -90,  -94,  -90,  -90
  32,     0,  -74,  -74,  -74, -158,  -74
  33,     1,  -36,  -36,  -36,  -36,   65
  34,     1,  -13,  -13,  -13,  -13,   88
  35,     1,  -77,  -77,  -77,  -77,   24
  36,     0, -104, -204, -104, -108, -104
  37,     1,  -43,   58,  -43,  -43,    0
  38,     0,  -91,  -87,  -87,  -87, -187
  39,     1,  -64,  -64,  -64,  -64,  138
  40,     1,  -80,  -80, -139, -132,  -80
  41,     1,  -37,  -37,   64,  -37,  -37
  42,     1,  -42,  -42,  -42,  160,  -42
  43,     1,  160,  -42,  -42,  -42,  -42
  44,     1,  -44,  -65,  -65,  -65,  -65
  45,     0, -148, -148, -148, -148,    0
  46,     0,  -54,  -54, -138,  -54,  -54
  47,     1,  -57,  -57,  -57,  -57,  145
  48,     1,  -42,  -42,  -42,  160,  -42
  49,     0, -243,  -75,  -71,  -71,  -71
  50,     0, -148, -148, -148, -148,  603
  51,     0, -101, -181, -101, -101, -101
  52,     1,  -31,  -31,  -31,  -31,   70
  53,     0, -123, -443, -123, -131, -219
  54,     0,  -87,  -87,  -87,  -87, -175
  55,     0, -109, -101, -101, -101,    0
  56,     0, -125, -133, -125, -229, -225
  57,     1,  -13,  -13,  -13,  -13,  189
  58,     0, -147, -247, -147, -175, -247
  59,     0, -148, -248, -248, -248, -148
  60,     1,   50,  -51,  -51,  -51,  -51
  61,     1,  -43,  -43,  -43,  -43,   58
  62,     1,  -62,  -62,  -62,  -62,  140
  63,     0, -102, -186, -102, -102, -274
  64,     0,   -1,   -1,   -1,   -1,   -1
  65,     1,  -96,  -96,  207,  -96,  -96
  66,     0,  -84,  -84, -168,  -84,  -84
  67,     1,  -41,   60,  -41,  -41,  -41
  68,     1,  -94,  -94, -254,  -94,  108
  69,     0, -228, -176,  -80,  -80,  -84
  70,     1,  -69,  -69,  133,  -69,  -69
  71,     1,  -13,  -13,  -13,   88,    0
  72,     1,  179,  -23,  -23,  -23,  -23
  73,     1,  -78,  -78,  -78,  -78,  124
  74,     1,  -46,  -46,  -46,  -46,  156
  75,     1,  -57,  -57,  -57,  -57,   44
  76,     0, -147, -247, -247, -147, -147
  77,     0, -228, -124, -204, -124, -224
  78,     1,  -14,  -14,  188,  -14,  -14
  79,     0, -224, -136, -236, -136, -236
  80,     0, -147, -247, -243, -147, -147
  81,     0, -125, -221, -217, -117, -117
  82,     0, -108, -100, -100, -100, -220
  83,     0, -147, -147, -147, -243, -147
  84,     0, -141, -141, -141, -149, -241
  85,     1,  -63,  -63,  139,  -63,  -63
  86,     1,  -77,  -77, -177,   24,  -77
  87,     0, -142, -242, -146, -242, -142
  88,     1,  -58,  -58,  -58,  -58,  -17
  89,     1,  -58,  -58,  -58,   43,  -58
  90,     1,  -31,  -31,  171,  -31,  -31
  91,     0,  -69,  -69,  -73,  -69,  -69
  92,     0,  -93,    4,  -93,  -93, -309
  93,     0, -153,  -65,  -65,  -65,  -65
  94,     1, -105,  -57,  -57, -104,  -57
  95,     1, -210, -114, -210, -114,   88
  96,     1,  -93, -193,    8,  -93,  -93
  97,     1,  -32,  -32,  -32,  170,  -32
  98,     1,  156,  -46,  -46,  -46,  -46
  99,     0, -194,  -94,  -94, -178,  -94
