nExp, valid,  A 0
   0,     0, -288
   1,     1,  143
   2,     0, -217
   3,     0, -301
   4,     0, -136
   5,     0, -300
   6,     0, -300
   7,     0, -117
   8,     1,  133
   9,     1,  130
  10,     0, -300
  11,     0, -301
  12,     0, -300
  13,     1,  165
  14,     1,   96
  15,     0, -301
  16,     1,  152
  17,     0, -112
  18,     0, -269
  19,     0, -300
  20,     1,  137
  21,     0, -301
  22,     0, -169
  23,     0, -239
  24,     0, -300
  25,     0, -117
  26,     0, -106
  27,     0, -225
  28,     1,   49
  29,     1,   69
  30,     0, -280
  31,     0, -184
  32,     0, -116
  33,     0, -172
  34,     0, -301
  35,     1,  134
  36,     1,   12
  37,     0, -188
  38,     1,  124
  39,     0, -123
  40,     0, -252
  41,     1,  147
  42,     1,    0
  43,     1,  189
  44,     0, -111
  45,     1,  100
  46,     0, -305
  47,     1,  138
  48,     1,   84
  49,     1,  189
  50,     0, -173
  51,     0, -305
  52,     1,  -46
  53,     0, -233
  54,     1,   10
  55,     1,  -38
  56,     0, -249
  57,     0, -300
  58,     0, -149
  59,     1,  144
  60,     0, -177
  61,     1,   97
  62,     0,  -71
  63,     0, -277
  64,     0, -301
  65,     0, -304
  66,     1,   88
  67,     0, -299
  68,     0, -182
  69,     0, -300
  70,     0, -301
  71,     0, -148
  72,     0, -296
  73,     1,   88
  74,     0, -122
  75,     0, -112
  76,     0, -301
  77,     0, -301
  78,     0, -148
  79,     0, -136
  80,     0, -301
  81,     0, -268
  82,     1,  189
  83,     0, -301
  84,     1,   96
  85,     1,   50
  86,     0, -304
  87,     0, -301
  88,     1,  189
  89,     1,   38
  90,     0, -118
  91,     0,  -82
  92,     0, -160
  93,     1,   40
  94,     1,  126
  95,     0, -302
  96,     0, -161
  97,     1,  135
  98,     0, -304
  99,     0, -148
