nExp, valid,  A 0,  A 1,  A 2
   0,     1,  -60,  142,  -60
   1,     0, -269, -141, -289
   2,     1,  -69,  -69,   32
   3,     1,  130, -112,  -72
   4,     1,  -36,  166,  -36
   5,     1,  -50,  152,  -50
   6,     1,  -65,  -65,  137
   7,     0, -299, -159, -235
   8,     0, -118, -102, -110
   9,     1,  -32,  -32,  170
  10,     0, -111, -111, -115
  11,     1,  -68,  -68,  134
  12,     1,  -77,  -77,   24
  13,     1,  -54,  -54,   47
  14,     1,  -12,   89,  -12
  15,     1,  -64,  -68,  138
  16,     1,  -12,  190,  -12
  17,     0, -165,  -77,  -77
  18,     1,   10,  -91,  -91
  19,     1,  -58,  -58,  144
  20,     0,  -67,  -67,  -71
  21,     0, -272, -296, -300
  22,     0,  -89, -241, -173
  23,     0, -300, -300, -148
  24,     1,  -12,   89,  -12
  25,     0, -116, -140, -184
  26,     0, -127, -135, -279
  27,     1,  -13,  189,  -13
  28,     1,  -52,  150,  -52
  29,     1,  -13,  189,  -13
  30,     0,  -73,  -77,  -73
  31,     1,   33,   33,  -88
  32,     1, -150,   31,  -66
  33,     0,   -1,   -1,   -1
  34,     0,  -84, -236,  -88
  35,     0,  -69, -153,  -69
  36,     0, -216, -116, -112
  37,     1,  -65,  137,  -65
  38,     1,   64,  -37,  -37
  39,     1,  -63,   38,  -63
  40,     1,  -44,  158,  -44
  41,     1,  164,  -38,  -38
  42,     0,  -88,  -84, -168
  43,     0,  -74,  -82,  -74
  44,     1,  149,  -53,  -53
  45,     0,  -77,  -73,  -73
  46,     0,  -67,  -67,  -71
  47,     0,  -83,  -87,  -83
  48,     1,  -70,  -70,   31
  49,     1,  118,  -84,  -84
  50,     1, -136, -108,   -7
  51,     0, -301, -285, -301
  52,     0,  -97,  -89,  -89
  53,     0, -148, -300, -272
  54,     0,  -75, -163,  -75
  55,     1,  -45,  157,  -45
  56,     1,  -38,  164,  -38
  57,     0,  -92,  -92, -100
  58,     1,  189,  -13,  -13
  59,     1,  -76,  -76,   25
  60,     1, -271, -271,   83
  61,     1,    7,  -94,  -94
  62,     1,   58,  -43,  -43
  63,     1,    7,    7, -122
  64,     0,  -78, -166, -226
  65,     0, -216, -104, -108
  66,     1,  -64,  138,  -64
  67,     0,  -82,  -78, -126
  68,     0,  -94,  -90, -218
  69,     1,  163,  -39,  -39
  70,     0, -188, -148, -304
  71,     1,  160,  -42,    0
  72,     0, -105, -109, -105
  73,     1,  -74,   27,  -74
  74,     0,  -94,  -94,  -98
  75,     1,    2,  -99, -111
  76,     0,  -91,  -91,  -99
  77,     1,  -17, -270, -130
  78,     0, -172,  -84,  -84
  79,     1,  -59,  -59,   42
  80,     0, -130, -218, -130
  81,     1,  160,  -42,  -42
  82,     0,  -75,  -71,  -71
  83,     0, -139, -239, -135
  84,     1,  -75,  -75,  127
  85,     0, -300, -300, -300
  86,     0, -264, -200, -268
  87,     0,  -68,  -72,  -68
  88,     1,   70,  -31,  -31
  89,     0, -204, -120, -268
  90,     0, -300, -300, -300
  91,     0, -130, -274,    0
  92,     0, -231, -127, -135
  93,     1,  102, -100, -100
  94,     0,  -90, -230,  -82
  95,     0, -300, -304, -300
  96,     1,  -13,  189,  -13
  97,     0, -152,  -64,  -64
  98,     1, -292,   62, -292
  99,     1,  -50,  -98,  152
