nExp, valid,  A 0,  A 1,  A 2,  A 3,  A 4
   0,     1,  -58,   43,  -58,  -58,  -58
   1,     1,  -77,  -69,  -69,  133,  -69
   2,     1,  -35,  -35,  -35,   66,  -35
   3,     1,  -49,   52,  -49,  -49,  -49
   4,     1,   38, -119,  -63,  -63,  -63
   5,     1,  -31,  -31,  -31,  -31,   70
   6,     0, -110, -110, -114, -110, -142
   7,     1,   28,  -73,  -73,  129,  -73
   8,     1,  -13,  -13,  -13,   88,  -13
   9,     1,  -13,  -13,  -13,  -13,  189
  10,     0,  -76, -164,  -76,  -76,  -76
  11,     1,  -58,  -58,  -58,  -58,  144
  12,     0,  -66,  -66,  -70,  -66,  -66
  13,     1, -265,   89, -265, -265, -173
  14,     1,  -12,  -12,  -12,   89,  -12
  15,     0, -115, -139, -183, -107, -107
  16,     1,  -13,  -13,   88,  -13,  -13
  17,     1,  -13,  -13,  -13,  189,  -13
  18,     1,  -67,  -67,  -67,  -67,   34
  19,     1,  -73, -145,   36,  -65,  -65
  20,     0,  -64,  -64,  -64, -148,  -64
  21,     0,  -93, -241, -177, -121,  -93
  22,     1,  -36,  -36,  -36,  -36,   65
  23,     1,  -64, -124,  -64,  138,  -64
  24,     1,  -41,  161,  -41,  -41,  -41
  25,     0,  -84,  -88, -168,  -84,    0
  26,     1,  -53,  -53,  149,  -53,  -53
  27,     0,  -77,  -73,  -73,  -73,  -73
  28,     0,  -70,  -66,  -66,  -66,  -66
  29,     1,  -68,  134,  -68,  -68,  -68
  30,     1, -131, -107,   95, -115, -107
  31,     0,  -88,  -92,  -92,  -88,  -88
  32,     0,  -74,  -74,  -74, -162,  -74
  33,     1,  -36,  -36,  -36,  -36,   65
  34,     1,  -13,  -13,  -13,  -13,   88
  35,     1,  -77,  -77,  -77,  -77,  125
  36,     1, -250, -250,  -98,  104,  -98
  37,     1,  -43,  159,  -43,  -43,    0
  38,     1,  118,  -84,  -84, -196, -232
  39,     1,  -64,  -64,  -64,  -64,   37
  40,     0,  -77,  -81,  -77, -125,  -77
  41,     1,  -38,  -38,   63,  -38,  -38
  42,     1,  -42,  -42,  -42,  160,  -42
  43,     1,   59,  -42,  -42,  -42,  -42
  44,     1,   26,  -75,  -75,  -75,  -75
  45,     1,    3,  -98, -106,  -98,    0
  46,     0,  -55,  -55, -143,  -55,  -55
  47,     1,  -57,  -57,  -57,  -57,   44
  48,     1,  -43,  -43,  -43,  159,  -43
  49,     0,  -70,  -74,  -70,  -70,  -70
  50,     1,  -75,  -75,  -75,  -75,  127
  51,     0, -300, -296, -300, -296, -200
  52,     1,  -31,  -31,  -31,  -31,   70
  53,     1,    5,  -96, -100,  -96, -172
  54,     0,  -87,  -87,  -87,  -87, -175
  55,     0,  -99,  -95,  -95,  -95,    0
  56,     0,  -80,  -80,  -84, -220,  -80
  57,     1,  -12,  -12,  -12,  -12,   89
  58,     1, -107, -259,  -10, -107, -159
  59,     1,  -49,  -49,  -49,  -93,   52
  60,     1,  151,  -51,  -51,  -51,  -51
  61,     1,  -43,  -43,  -43,  -43,  159
  62,     1,  -62,  -62,  -62,  -62,  140
  63,     0, -240, -300, -300, -168, -300
  64,     0, -105, -185, -105, -105, -113
  65,     1,  -95,  -95,    6,  -95,  -95
  66,     0, -189,  -97, -189, -101, -105
  67,     1,  -42,  160,  -42,  -42,  -42
  68,     1,  -94,  -94,  -94,  -94,    3
  69,     0,  -65, -153,  -65,  -65,  -65
  70,     1,  -65,  -65,  137,  -65,  -65
  71,     1,  -14,  -14,  -14,  188,    0
  72,     1,   89,  -12,  -12,  -12,  -12
  73,     1,  -79,  -79,  -79,  -79,  123
  74,     1,  -46,  -46,  -46,  -46,  156
  75,     1,  -58,  -58,  -58,  -58,  144
  76,     0, -101, -101, -253, -109, -101
  77,     1, -194,  -94,  -94,    7, -246
  78,     1,  -13,  -13,   88,  -13,  -13
  79,     0,  -75,  -83,  -95,  -95, -227
  80,     0,  -86,  -86, -106,  -86,  -94
  81,     0,  -90, -242, -142,  -90,  -94
  82,     1,    6,  -95,  -95,  -95,  -95
  83,     1, -130, -110,   -9, -158,   -9
  84,     0,  -71,  -67,  -67,  -67, -103
  85,     1,  -62,  -62,   39,  -62,  -62
  86,     1, -102,  -74, -218,   27,  -74
  87,     0, -166, -290, -146, -290, -162
  88,     1,  -62,  -62,   39,  -62,  -62
  89,     1,  -57,  -57,  -57,   44,  -57
  90,     1,  -33,  -33,  169,  -33,  -33
  91,     0,  -69,  -69,  -77,  -69,  -69
  92,     0,  -97, -105,  -97, -101,  -97
  93,     1, -229,   20,  -81,  -81, -149
  94,     1, -140,  -64,  -64,   37,  -64
  95,     1, -234,   19, -114,  -82,  -82
  96,     1,  -66,  -90,  -66,  -66,   35
  97,     1,  -33,  -33,  -33,  169,  -33
  98,     1,   56,  -45,  -45,  -45,  -45
  99,     0, -147,  -59,  -59,  -59,  -59
