nExp, valid,  A 0
   0,     0, -139
   1,     1,   39
   2,     0, -148
   3,     0, -229
   4,     0, -212
   5,     0, -148
   6,     0, -149
   7,     1,  -73
   8,     0, -149
   9,     1,  -30
  10,     0, -148
  11,     0, -481
  12,     0, -177
  13,     0, -148
  14,     1,  -91
  15,     0, -536
  16,     0, -148
  17,     0, -149
  18,     0, -148
  19,     0, -148
  20,     0, -221
  21,     0, -420
  22,     0, -608
  23,     0, -160
  24,     0, -172
  25,     0, -252
  26,     0, -177
  27,     0, -497
  28,     0, -252
  29,     0, -149
  30,     0, -176
  31,     0, -149
  32,     0, -152
  33,     0, -148
  34,     0, -148
  35,     0, -148
  36,     1, -261
  37,     0, -264
  38,     0, -149
  39,     0, -148
  40,     0, -149
  41,     0, -245
  42,     0, -213
  43,     0, -169
  44,     0, -149
  45,     0, -149
  46,     0, -149
  47,     0, -385
  48,     0, -149
  49,     1,  172
  50,     0, -148
  51,     0, -149
  52,     1, -350
  53,     0, -253
  54,     0, -149
  55,     1,  -67
  56,     0, -149
  57,     0, -149
  58,     0, -157
  59,     0, -148
  60,     0, -149
  61,     0, -148
  62,     0, -148
  63,     0, -469
  64,     0, -149
  65,     0, -149
  66,     0, -193
  67,     0, -148
  68,     0, -149
  69,     0, -149
  70,     0, -149
  71,     1,  -39
  72,     0, -148
  73,     0, -149
  74,     0, -173
  75,     0, -148
  76,     0, -428
  77,     0, -297
  78,     0, -149
  79,     0, -149
  80,     0, -196
  81,     0, -149
  82,     0, -489
  83,     0, -149
  84,     0, -149
  85,     0, -149
  86,     0, -149
  87,     0, -160
  88,     0, -384
  89,     0, -149
  90,     0, -149
  91,     0, -172
  92,     0, -148
  93,     1,   38
  94,     0, -148
  95,     0, -148
  96,     0, -429
  97,     1,   -8
  98,     0, -149
  99,     0, -149
