nExp, valid,  A 0,  A 1,  A 2
   0,     0, -149, -149, -149
   1,     0, -149, -149, -537
   2,     1,  -68,  -68,  -31
   3,     0, -148, -364, -148
   4,     0, -308, -148, -148
   5,     1,  -47,  -18,  -47
   6,     0, -148, -276, -148
   7,     0, -148, -296, -316
   8,     0, -148, -148, -148
   9,     0, -148, -148, -148
  10,     0, -220, -148, -204
  11,     1,  -68,  -68, -103
  12,     0, -148, -148, -148
  13,     0,  -47, -105, -105
  14,     0, -148, -148, -148
  15,     1,  -49,  -93,  153
  16,     0,  -32,  -36,  -32
  17,     0, -220, -224, -148
  18,     1, -154,  -95,  -95
  19,     1, -269, -346, -110
  20,     0, -152, -184, -148
  21,     0, -148, -148, -276
  22,     0, -292, -480, -148
  23,     0, -148, -460, -148
  24,     0, -148, -148, -148
  25,     0, -148, -148, -148
  26,     0, -148, -148, -148
  27,     0, -148, -148, -524
  28,     0, -148, -340, -148
  29,     0,  -72, -124,   25
  30,     0, -148, -148, -148
  31,     0, -200, -148, -148
  32,     1,  -49,   12,  -53
  33,     1,  -82, -115, -463
  34,     0, -180, -148, -148
  35,     0, -148, -148, -148
  36,     1,  -89,   49,  -89
  37,     0,  200,  -87,  -87
  38,     0, -176, -148, -148
  39,     1,  -80,  -80,  122
  40,     0, -160, -196, -160
  41,     0, -276, -532, -148
  42,     0, -172, -148, -148
  43,     0, -148, -148, -220
  44,     1,   22,  -51,  -51
  45,     0, -148, -284, -552
  46,     0,  -75,  -75,  -83
  47,     1,  -82, -121,  -82
  48,     0, -420, -148, -216
  49,     1, -116, -116, -111
  50,     1,  -83,  -83,  -98
  51,     0, -524, -148, -148
  52,     0, -148, -148, -248
  53,     0, -205, -289, -409
  54,     0, -148, -148, -148
  55,     0, -148, -148, -148
  56,     0, -148, -148, -148
  57,     1, -106, -357, -106
  58,     1, -114, -166, -365
  59,     0, -148, -148, -292
  60,     1, -222,  -94, -145
  61,     1, -109,  -98,  -98
  62,     0,  -63,  -59,  -59
  63,     0, -148, -148, -148
  64,     0, -148, -148, -148
  65,     0, -220, -148, -148
  66,     1, -111, -131, -102
  67,     0, -148, -148, -148
  68,     0, -148, -148, -460
  69,     0, -148, -388, -148
  70,     0, -148, -148, -148
  71,     0, -148, -148,    0
  72,     0, -276, -148, -500
  73,     0, -149, -149, -149
  74,     0, -164, -256, -148
  75,     0, -236, -148, -148
  76,     0, -155, -147, -159
  77,     1,  -20, -257,  -93
  78,     0, -320, -148, -148
  79,     0, -148, -148, -148
  80,     0, -148, -148, -148
  81,     1,   66,  -35,  -35
  82,     0, -148, -300, -148
  83,     0, -192, -236, -156
  84,     0, -148, -148, -148
  85,     0, -164, -148, -148
  86,     0, -149, -181, -201
  87,     0, -168, -148, -148
  88,     1,  268,  -35,  -79
  89,     0, -668, -148, -148
  90,     0, -148, -248, -148
  91,     0, -148, -240,    0
  92,     1,  -94, -114,  -69
  93,     0, -148, -148, -148
  94,     1,   -4,  -77, -173
  95,     0, -148, -216, -160
  96,     1,  -25,   76,  -25
  97,     0, -148, -148, -168
  98,     1, -113, -128, -309
  99,     0, -148, -148, -148
