nExp, valid,  A 0,  A 1,  A 2,  A 3,  A 4
   0,     0, -332, -148, -148, -148, -148
   1,     0, -440, -240, -148, -156, -296
   2,     1,  -33,  -33,  -33,   20,  -33
   3,     1, -177,  -60,  -45,  -45,  -45
   4,     0, -148, -148, -628, -148, -184
   5,     1,  116,  -86, -110,  -86,  -86
   6,     0, -147, -155, -147, -147, -147
   7,     1,  -58,  -58,  -58,  -33,  -58
   8,     0,  -56,   46, -172,  -56,  -56
   9,     1,  -48,  -80,    9,  -48,  -48
  10,     1, -117, -117,  -60, -169, -117
  11,     0, -148, -148, -148, -184, -228
  12,     0, -148, -148, -216, -148, -148
  13,     1,  -89, -200,  -89,  -89,  -89
  14,     0, -180, -156, -136, -136, -136
  15,     0, -148, -148, -148, -444, -148
  16,     1,  -84,  -84,  -84,  -84, -107
  17,     0, -448, -148, -148, -148, -148
  18,     0, -148, -148, -148, -148, -148
  19,     1,  -50,  -50,   43,  -50,  -78
  20,     0, -148, -284, -148, -148, -264
  21,     0, -148, -148, -148, -176, -148
  22,     1,  -36,  -36,  -36,  -36,  114
  23,     1,  -67,  -67,  -87, -126,  -67
  24,     0,  -50,  -62,  -50,  -50,  -50
  25,     1,  -96,  -96, -348, -239,    0
  26,     0, -152, -464, -184, -192, -148
  27,     0, -148, -148, -148, -148, -148
  28,     0, -148, -148, -184, -148, -168
  29,     0, -149, -149, -253, -537, -149
  30,     0, -308, -148, -148, -148, -292
  31,     0, -308, -208, -148, -196, -148
  32,     0, -148, -148, -148, -148, -148
  33,     0, -148, -115, -228, -164, -148
  34,     1,  -89,  -89,  -89,  -64,  -89
  35,     0, -403, -147, -147, -147, -147
  36,     1,  -97, -125, -160,  -97,  -97
  37,     1,  -80,  -80,  -80,   -7,  -80
  38,     0, -148, -476, -548, -528, -436
  39,     1,  -63,  -63,  -63,  -63,  -14
  40,     1, -137, -110, -110, -110, -110
  41,     0, -148, -148, -148, -572,  -51
  42,     0, -520, -148, -272, -176, -176
  43,     1,  115,  -39,  -39,  -39,  -39
  44,     1,  124, -110,  -78, -198,  -78
  45,     0, -148, -252, -148, -148, -464
  46,     0, -148, -148, -148, -148, -148
  47,     0,  -77, -269,  -77,  -77,  -81
  48,     0, -148, -148, -148,   50, -564
  49,     1, -101, -101, -309, -101, -140
  50,     1,  -76,  -76, -280,  -76,  199
  51,     0, -460, -252, -148, -148, -212
  52,     0, -148, -276, -148, -148, -148
  53,     0,  -95,  -91,  -99,  -91,  -91
  54,     0, -148, -148, -148, -148, -184
  55,     0, -148, -280, -240, -148,    0
  56,     0, -147, -147, -155, -147, -319
  57,     0, -248, -148, -612, -148, -148
  58,     0, -148, -148, -148, -148, -232
  59,     0, -180, -176, -148, -576, -148
  60,     0, -148, -156, -148, -148, -148
  61,     0, -250,  193, -214, -102, -282
  62,     0, -148, -148, -148, -188, -148
  63,     0, -148, -148, -308, -284, -252
  64,     1, -114, -274, -172, -114, -114
  65,     1,  -79,  -79,  -46, -115,  -79
  66,     1, -101, -200, -101, -101, -101
  67,     1,  -42,  -42,  -42,   59,  -42
  68,     0, -148, -148, -148, -148, -148
  69,     0, -156, -200, -148, -532, -148
  70,     0, -148, -148, -148, -148, -312
  71,     0, -488, -132, -271, -404,    0
  72,     1,  382,  -22,  -22,  -22,  -22
  73,     1,  -83,  -83,  -83,  -83,   14
  74,     0, -148, -148, -148, -320, -148
  75,     1, -115, -115, -258, -115, -115
  76,     0, -148, -148, -184, -148, -148
  77,     0, -148, -216, -400, -148, -148
  78,     0, -148, -148, -476, -156, -148
  79,     0, -339, -147, -147, -147, -147
  80,     0, -193,  -85, -137, -101,  -89
  81,     0, -300, -148, -176, -148, -148
  82,     0, -148, -148, -148, -148, -160
  83,     0, -147, -299, -147, -147, -147
  84,     0, -148, -148, -516, -148, -652
  85,     1, -323,  -73, -119, -119, -119
  86,     0, -640, -148, -148, -148, -380
  87,     1, -160, -108,  -91, -108, -108
  88,     1,  -69,  -69,  -69,  -69, -120
  89,     1, -100, -100, -100, -144,  -99
  90,     1, -222, -103, -211, -103, -103
  91,     1, -119,  -66, -119, -119, -127
  92,     0, -119, -119, -155, -123, -123
  93,     0, -147, -195, -147, -147, -203
  94,     1, -129,    4,  -65,  -65,  -65
  95,     0, -179, -147, -615, -147, -147
  96,     1,  -68,  -68,  -72,  -68,  -87
  97,     0, -456, -148, -456, -148, -164
  98,     1, -110, -110, -110, -110,  -17
  99,     0, -148, -148, -148, -188, -240
